Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491940397546, 70, 0, -1, -1.47, -1.26, 129
1491940397616, 70, 0, -1, -1.47, -1.26, 129
1491940397711, 87, 0, -1, -1.47, -1.26, 129
1491940397740, 28, 0, -1, -1.47, -1.26, 129
1491940397789, 44, 0, -1, -1.47, -1.26, 129
1491940397856, 66, 0, -1, -1.47, -1.26, 129
1491940397943, 85, 0, -1, -1.47, -1.26, 129
1491940397971, 28, 0, -1, -1.47, -1.26, 129
1491940398061, 89, 0, -1, -1.47, -1.26, 129
1491940398135, 58, 0, -1, -1.47, -1.26, 129
1491940398212, 76, 0, -1, -1.47, -1.26, 129
1491940398280, 67, 0, -1, -1.47, -1.26, 129
1491940398355, 73, 0, -1, -1.47, -1.26, 129
1491940398423, 59, 0, -1, -1.47, -1.26, 129
1491940398515, 92, 0, -1, -1.47, -1.26, 129
1491940398589, 73, 0, -1, -1.47, -1.26, 129
1491940398663, 72, 0, -1, -1.47, -1.26, 129
1491940398788, 114, 0, -1, -1.47, -1.26, 129
1491940398829, 41, 0, -1, -1.47, -1.26, 129
1491940398906, 76, 0, -1, -1.47, -1.26, 129
1491940398960, 53, 0, -1, -1.47, -1.26, 129
1491940399042, 80, 74, -24, 224.58, -46.80, 255
1491940399109, 65, 96, -36, 216.23, -48.81, 255
1491940399193, 83, 98, -32, 197.64, -29.37, 255
1491940399292, 98, 107, -31, 224.53, -31.01, 255
1491940399380, 87, 132, -35, 290.57, -38.34, 255
1491940399459, 78, 130, -41, 259.47, -47.01, 255
1491940399541, 81, 103, -41, 180.67, -42.78, 255
1491940399597, 54, 105, -43, 211.30, -44.63, 255
1491940399666, 68, 83, -63, 144.61, -83.10, 193
1491940399722, 55, 93, -62, 196.28, -62.59, 255
1491940399815, 91, 161, -67, 390.54, -72.48, 255
1491940399873, 57, 126, -54, 218.02, -41.60, 255
1491940399946, 72, 131, -48, 267.43, -42.12, 255
1491940400010, 63, 109, -15, 195.85, 17.81, 255
1491940400076, 61, 109, -15, 218.09, -15.29, 255
1491940400150, 74, 109, -15, 218.09, -15.29, 255
1491940400210, 59, 109, -15, 218.09, -15.29, 255
1491940400278, 67, 108, -34, 216.06, -53.12, 255
1491940400327, 48, 108, -34, 216.73, -34.20, 255
1491940400383, 54, 94, -34, 175.25, -34.42, 255
1491940400441, 57, 93, -28, 186.56, -22.96, 255
1491940400515, 73, 93, -28, 187.40, -28.63, 255
1491940400582, 66, 93, -28, 187.40, -28.63, 255
1491940400652, 69, 93, -28, 187.40, -28.63, 255
1491940400658, 4, 93, -28, 187.40, -28.63, 255
