Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491945946959, 63, 65, 30, 22.46, 34.37, 188
1491945947004, 38, 63, 31, 22.80, 32.70, 187
1491945947078, 72, 63, 34, 25.67, 36.96, 194
1491945947141, 63, 65, 33, 28.07, 33.05, 193
1491945947208, 65, 73, 31, 37.11, 28.86, 197
1491945947281, 72, 79, 29, 38.54, 28.28, 198
1491945947328, 46, 84, 27, 38.21, 24.88, 195
1491945947434, 105, 88, 23, 39.41, 19.00, 190
1491945947493, 58, 88, 23, 35.17, 24.46, 191
1491945947540, 44, 79, 25, 23.61, 26.83, 182
1491945947610, 69, 75, 25, 25.14, 25.94, 183
1491945947674, 64, 67, 28, 20.01, 31.18, 183
1491945947743, 68, 65, 28, 23.27, 28.65, 183
1491945947783, 40, 64, 27, 25.62, 27.17, 184
1491945947843, 58, 67, 26, 30.10, 26.00, 188
1491945947911, 67, 74, 24, 37.01, 21.84, 190
1491945947955, 39, 79, 22, 37.05, 20.66, 189
1491945948037, 81, 79, 22, 31.55, 22.92, 186
1491945948098, 59, 75, 23, 26.62, 23.62, 182
1491945948183, 85, 73, 23, 27.64, 23.13, 182
1491945948218, 34, 68, 21, 22.09, 20.10, 174
1491945948322, 103, 71, 20, 31.02, 19.64, 182
1491945948385, 61, 71, 17, 29.34, 13.87, 175
1491945948428, 42, 75, 15, 33.48, 12.79, 178
1491945948500, 67, 75, 15, 30.08, 15.02, 177
1491945948561, 60, 75, 11, 30.63, 8.81, 171
1491945948593, 31, 76, 10, 30.96, 10.03, 172
1491945948676, 83, 74, 6, 27.86, 1.40, 161
1491945948714, 33, 71, 5, 25.47, 4.19, 161
1491945948812, 98, 65, 1, 20.81, -1.36, 151
1491945948884, 70, 63, 1, 23.17, 0.33, 155
1491945948953, 60, 54, 0, 13.35, -2.25, 143
1491945949011, 41, 52, -1, 18.66, -1.52, 149
1491945949045, 33, 50, -1, 17.56, -1.57, 147
1491945949112, 66, 41, -2, 8.20, -2.75, 137
1491945949168, 56, 37, -2, 11.14, -3.31, 139
1491945949236, 66, 34, -2, 10.51, -2.47, 140
1491945949307, 70, 27, -2, 4.31, -2.35, 133
1491945949374, 66, 22, -2, 3.31, -2.60, 132
1491945949452, 77, 15, -2, -0.35, -2.48, 129
1491945949519, 66, 9, -2, -2.34, -2.08, 127
1491945949583, 62, 6, -1, -0.38, -1.56, 130
1491945949641, 58, -1, -1, -8.39, -0.88, 122
1491945949707, 65, -2, -1, -2.12, -1.06, 128
1491945949784, 75, -3, 0, -2.45, -0.63, 128
1491945949827, 42, -3, 0, -1.76, -0.51, 129
1491945949925, 97, 0, -1, 3.00, -1.66, 133
1491945949981, 54, 1, -1, 2.70, -1.73, 132
